,Subj_Pred,Obj,Obj_true,PMID
0,The aim of the present review is,[start] to assess the relationship between diet and apoptosis [end],[start] to determine the epidemiological characteristics of hereditary colorectal cancer in India [end],26842188
1,The aim of this review is,[start] to assess the relationship between diet and apoptosis [end],[start] to outline our current knowledge of the distinguishing features of early - onset CRC [end],28391421
2,defined stages go,[start] for the study [end],[start] from lesions in the crypt of the colon [end],14971997
3,"Demonstration of loss of DNA mismatch repair genes , hMSH2 provides",[start] a major goal of improving understanding for the role of the treatment of colorectal cancer [end],[start] additional diagnostic information [end],10647627
4,an ongoing commitment to remain,[start] the greatest potential for the prevention of gastric cancer [end],[start] current in advances [end],10074658
5,genetic factors play,[start] a major role in the development of cardiovascular disease [end],[start] a major role in the pathogenesis of colon cancer [end],30646512
6,Asian Americans had,[start] a major goal of improving understanding for the natural history of the primary care systems [end],[start] significantly low rates for CRC screening [end],23991947
7,This article focuses,[start] on the chain of potential [end],[start] on the recommended preoperative evaluation of patients [end],16389149
8,11 of 43 patients with venous tumor thrombosis could survive,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] for more than 2 years after the diagnosis although five of the 11 patients had liver metastasis [end],27693064
9,screening has not resulted,[start] in the clinic [end],[start] in a reduced incidence of colorectal cancer in true population studies despite removal of two to three times as many possible precursors compared to controls So far [end],11036284
10,the important roles played,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],"[start] by patient trust in one 's physician in addressing colorectal cancer disparities , including the need for studies [end]",27294749
11,Understanding of the mechanism of colorectal carcinogenesis has been gaining,[start] us 150179 for budesonide representing respectively 40 15 209 of per capita income in malawi [end],[start] momentum for some years on account of its high incidence [end],19283877
12,nurses to understand to provide,[start] the potential benefits mechanisms of applications of inhaled antibiotics for the management of colorectal cancer [end],[start] accurate information regarding management [end],17476735
13,Between 20 % have,[start] to be improved including meeting records presently [end],[start] a family history of the disease [end],26520200
14,the world becomes,[start] a major goal of improving understanding for practice [end],[start] more industrialised [end],27165364
