,Subj_Pred,Obj,Obj_true,PMID
0,More aggressive screening measures using,[start] the greatest potential for the same time [end],[start] a lower prostate - specific antigen [end],16885911
1,Markers are needed,[start] to be improved including meeting records presently [end],[start] for screening distinguishing latent from predicting outcome [end],21319990
2,bacterial strains to express,[start] the greatest potential for the same time [end],[start] cancer - specific antigens [end],30324354
3,dietary strategies targeting,[start] a major goal of improving understanding for practice [end],[start] metabolic syndrome [end],30893147
4,all patients having localized,[start] the development of diabetes [end],[start] disease [end],23773409
5,targeting prostate CSCs for the prevention of treatment of prostate cancer could become,[start] a major goal of improving understanding for the most prevalent [end],[start] a novel strategy for better treatment of patients [end],22369972
6,the companion book titled,[start] on the chain of potential [end],[start] Clinical Diagnostic Imaging of Prostate Cancer [end],30229546
7,a novel decisional aid is included,[start] the most studied tree nut [end],[start] treatment - related factors [end],29549504
8,lncRNAs may serve,[start] for the treatment of type 2 diabetes mellitus [end],[start] as therapeutic targets helping to prevent development of castration resistance [end],28241429
9,organ confined,[start] us 150179 for budesonide representing respectively 40 15 209 of per capita income in malawi [end],[start] disease [end],29633943
10,Markers are needed,[start] to be improved including meeting records presently [end],[start] for diagnosis distinguishing latent from differentiating localized from metastatic disease [end],21319990
11,Some of the new targets are,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] PARP inhibitors [end],29860848
12,The prevalence is increasing,[start] us 150179 for budesonide representing respectively 40 15 209 of per capita income in malawi [end],[start] in both developed and developing nations [end],26560323
13,This overview reviews,[start] the association between polypharmacy and all cause of all cause of cancer related deaths in the world [end],[start] the current state of PRS for prostate cancer including testing considerations [end],31629419
14,prognostic determinant biomarkers to minimize,[start] the clinical setting [end],[start] overtreatment of localized disease [end],30181359
15,tumor - associated immune cells play,[start] a major goal of improving understanding for the role of the development of colorectal cancer [end],[start] major roles in the initiation [end],31134920
16,Many PSMA ligands have been developed,[start] for the treatment of type 2 diabetes mellitus [end],[start] since the previous decade [end],32147685
17,"The interplay between genetics , diet , and prostate cancer is",[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] an area of emerging focus that might help optimize therapeutic dietary response in the future through personalization [end],30893147
18,phase 3 trials did n't show,[start] a major goal of improving understanding for the role of gastric cancer [end],[start] any improvement in overall survival ( OS ) especially with immune checkpoint inhibitors [end],29860848
19,Nurses for ensuring,[start] the potential benefits mechanisms of applications of inhaled antibiotics for the management of colorectal cancer [end],[start] men have the support [end],24754104
20,Recent data have solidified,[start] a significant association between hpylori and crds [end],[start] the association between insulin resistance and prostate cancer with the homeostatic model assessment of insulin resistance [end],30893147
21,Physicians treating,[start] by the presence of the airways [end],[start] patients with prostate cancer [end],24274615
22,The present results suggest,[start] that the favorable effects of environmental factors such as nhb children [end],[start] that the lymphovascular invasion were independent predictive factors for progression to castration - resistant prostate cancer [end],32500468
23,the concentration of androgen required,[start] us 150179 for budesonide representing respectively 40 15 209 of per capita income in malawi [end],[start] for maximal stimulation of the receptor [end],24384911
24,71 investigators focused,[start] on the chain of various spirometric patterns [end],[start] on a variety of other fields including ovarian cancer [end],28925066
25,This review discusses,[start] the association between polypharmacy and all cause of all cause of cancer related deaths [end],[start] the oncologic rationale for focal therapy in localized prostate cancer [end],32558805
26,PET scans have shown to perform well,[start] a significant association between hpylori and crds [end],[start] in the restaging of this category of patients [end],30684842
27,an area of emerging focus might help,[start] on the chain of potential [end],[start] optimize therapeutic dietary response in the future through personalization [end],30893147
28,the most pertinent problems stemming,[start] by european groups [end],[start] from the extreme heterogeneity of prostate cancer [end],29393241
