,Subj_Pred,Obj,Obj_true,PMID
0,Immune - based interventions are opening up,[start] [UNK] to cure individuals [end],[start] entirely novel therapeutic avenues [end],12908509
1,few randomized controlled trials addressing,[start] as a high rate of prom [end],[start] fatigue and diabetes - related symptoms [end],29944065
2,i ) YWD e p e p,[start] lampsilis [UNK] [end],[start] in EE [end],26771087
3,These data in planning,[start] that [UNK] [UNK] [end],[start] resource allocation [end],16898876
4,Few studies report,[start] [UNK] [end],[start] on all admissions to hospital [end],18053255
5,1 diabetes is associated with,[start] the most common cause of death among women [end],[start] chronic hyperglycemia [end],12502506
6,Intensive training of professionals in the field is,[start] the leading of [UNK] [UNK] [end],[start] necessary [end],30799818
7,the younger age at onset may suggest,[start] that the effect of [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],"[start] a stronger genetic susceptibility , associated with a more aggressive autoimmune process [end]",26062518
8,diabetes is worldwide,[start] a heterogeneous disease [end],[start] a growing health challenge [end],15229371
9,public health campaign is,[start] a useful strategy for identifying potential [UNK] therapies [end],[start] a potential opinion of the healthcare personnel [end],29083332
10,The patient was,[start] [UNK] [end],[start] a 71 - year - old woman with aquaporin -4-antibody positive neuromyelitis optica [end],30918186
11,Type 1 diabetes presenting in adults is predominantly determined,[start] by the presence of [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] by non-genetic factors [end],12116172
12,The 5 -10-years risk for type 1 diabetes varies,[start] cardiovascular disease [end],[start] from 0 - 1 % in individuals with only one positive antibodies to 62 - 100 % in subjects [end],11460579
13,T1 DM has the pathogenesis of,[start] [UNK] [end],[start] 1 diabetes mellitus [end],20351698
14,an autoimmune disorder afflicting,[start] [UNK] [UNK] [UNK] [end],[start] millions of people worldwide [end],20432533
15,a single factor to cause,[start] the risk of microvascular complications such as disease [end],"[start] an increase in the incidence of diabetes all over the world , which suggests that a multifactorial process might be involved [end]",23733895
16,Our aim was,[start] to examine the association between sex and breast cancer mortality after controlling for prognostic factors including disease [end],[start] to estimate this effect [end],21465326
17,significant advances have been made,[start] according to the risk of diabetes [end],[start] in the clinical care of T1 D [end],20723815
18,autoantibody positive subjects are,[start] more effective than [UNK] in the treatment of t2d [end],[start] at maximum risk for disease [end],16611168
19,The aim of this study was,[start] to review recent guideline recommendations on therapeutic strategies while providing practical recommendations for the management of diabetes [end],[start] to investigate the cognitive functioning of patients with type 1 diabetes ( including a subgroup ) and nondiabetic controls [end],17546438
20,working memory were related,[start] [UNK] [end],[start] to adherence [end],20215458
21,Limiting loss of endogenous insulin secretion using immunomodulation could be,[start] more important than the [UNK] of [UNK] [end],[start] valuable for type 1 diabetes [end],16478821
22,The aim of the study was,[start] to review recent guideline recommendations on therapeutic strategies while providing practical recommendations for the management of diabetes [end],[start] to evaluate the neurofunctional effect of gender in Type - 1 Diabetes Mellitus ( T1DM ) patients during a Visual Spatial Working Memory ( VSWM ) task [end],30027655
23,This Seminar gives,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] an overview of potential future directions for research [end],29916386
24,Self - Management Profile to assess,[start] the risk of microvascular complications [end],[start] treatment adherence [end],20215458
25,The model of care in childhood diabetes mellitus must be focussed,[start] in the study of [UNK] in the past 10 years [end],[start] on earlier intervention if adverse outcomes are to be reduced [end],15813600
26,the disease onset having,[start] a better understanding of the disease [end],[start] a role at the level of perpetuation of the autoimmunity process [end],24582332
27,different insulin requirements were detected,[start] in the pathogenesis of t2 dm [end],[start] In vivo experiments present meaningful profiles for other situations [end],27686710
28,"larger studies , with extended follow - up are",[start] the leading cause of morbidity in women in the united states including countries [end],[start] clearly of interest to investigate this treatment concept [end],26003192
29,executive functioning skills ( e.g. were related,[start] more effective treatment options in lung cancer [end],[start] to adherence [end],20215458
30,The main outcome measure was,[start] in the [UNK] of [UNK] [UNK] [UNK] [end],[start] relative risk of death according to comorbidities [end],21465326
31,Both factors must become,[start] a major cause of cancer related mortality in the united states [end],[start] part of targeted diabetes care [end],30912245
32,intensive management with multiple daily injections or insulin pump therapy and the support of a specialist multidisciplinary team is,[start] important part of the [UNK] [end],[start] now standard care in 2014 [end],25529223
33,This study aimed to find,[start] the [UNK] of [UNK] [end],[start] the predictors of blood glucose control [end],23749254
34,These results indicate,[start] that [UNK] are associated with [UNK] [end],[start] the leading role of chronic enteric toxic infectious process in the development of complications of type 1 diabetes [end],12428285
35,Longer treatment duration was associated,[start] with increased risk of cardiovascular diseases including coronary artery disease [end],[start] with greater improvements in psychological symptoms [end],25330352
36,2 case control studies met,[start] the progression of chronic respiratory diseases [end],[start] the inclusion criteria Twelve cohort [end],28489876
37,Several risk factors have been associated,[start] with cardiovascular disease [end],[start] with type 1 DM [end],14652163
38,ROC analysis showed,[start] that [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],"[start] that the optimum cut - off value for GA was 33.5 % with sensitivity and specificity of 97.4 % and 96.8 % , respectively [end]",26477482
39,Findings suggest,[start] that the [UNK] of [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] that sex differences should be considered when studying T1DM - disease development [end],30027655
40,Moderate physical activity protected,[start] [UNK] [end],[start] against high LDL - C levels [end],26840670
41,Poisson regression was used,[start] to provide the association of cardiovascular disease [end],[start] to model mortality rates by calendar time [end],23949580
42,the body 's natural defense system mistakenly attacks,[start] as a major disease [end],[start] the healthy cells [end],32421967
43,Diabetes care provision should pay,[start] [UNK] [UNK] [UNK] [UNK] [end],[start] particular attention to patients with co-existing neurodevelopmental disorders such as ADHD [end],28708247
44,Areas covered,[start] a comprehensive outlook of its underlying merits as the clinical diagnostic clinical tools [end],[start] This review will cover the epidemiologic characteristics of the influence of race [end],31081398
45,The distribution of these genes in the Mediterranean region is not,[start] in the study of [UNK] in the past 10 years [end],[start] completely known still [end],10362460
46,85 % of the women declared having received,[start] the same as [UNK] [end],[start] information about preconception care [end],16357787
47,that prediction of type are,[start] as a significant public health concern [end],[start] under way Now [end],10496000
48,EE moderated,[start] [UNK] [UNK] [UNK] [end],[start] the impact of NDRE on CA among youth 11 - 13 yr [end],26771087
49,67 % were,[start] [UNK] [UNK] [end],[start] positive [end],22558802
50,investigators are using,[start] [UNK] [UNK] [UNK] [end],[start] new technologies to characterize immune responses toward these proteins [end],31010879
51,Studies have shown,[start] that the effect of [UNK] are associated with a high incidence of diabetes [end],[start] that adolescents ( young women ) have an increased risk for sub-clinical eating disorders [end],12880184
52,BMT can be used,[start] to be aware of the increased risk of lung cancer [end],[start] to treat T1DM [end],18789598
53,Parents completed,[start] a multisector strategy that cuts mortality through quality health care services [end],"[start] questionnaires , including Behavioral Rating Inventory of Executive Function [end]",28318073
54,A better understanding of the role of gut may provide,[start] the potential to be more effective treatment of t2d patients [end],[start] us with powerful prognostic tools in the near future [end],29929213
55,This article synthesizes,[start] the association between sex and breast cancer [end],[start] the existent findings [end],19323958
56,T1D to be triggered,[start] to be [UNK] [end],"[start] by environmental factors , including virus infections in genetically predisposed individuals [end]",17667707
57,another proteolytic pathway may have,[start] the risk of microvascular complications such as disease [end],[start] a significant role in the autoimmunity process [end],24582332
58,Combinations can be used,[start] [UNK] [end],[start] for selection of first - degree relatives of patients with T1 DM for primary intervention trials [end],15794911
59,peripubertal changes in body shape predispose,[start] [UNK] [end],[start] young women to develop unhealthy eating attitudes [end],10436248
60,Results suggest,[start] that the effect of [UNK] [UNK] [UNK] [UNK] [end],[start] that overall burden is higher for those diagnosed with T1DM than respondents without diabetes [end],27812145
61,This review seeks,[start] [UNK] [end],[start] to characterize emerging concepts [end],29039056
62,the owner decided to euthanize,[start] a large amount of [UNK] [end],[start] the animal [end],20446034
63,NDRE impact,[start] higher levels of da [end],[start] higher levels of BF [end],26771087
64,novel therapeutic approaches by targeting,[start] patients [end],[start] deregulated autophagy offering novel opportunities to personalized medicine [end],24582332
65,adolescents had been diagnosed,[start] with diabetes [end],[start] with type 1 diabetes to assess their reactions to their child 's diagnosis [end],26165784
66,This chapter of the Yearbook of Treatments in Diabetes reviews,[start] the clinical setting [end],[start] the key articles that have appeared in this field between January 2008 and June 2009 [end],20377666
67,environmental exposures are,[start] for patients with chronic respiratory diseases [end],[start] potential triggers of autoimmunity [end],19476469
68,its co-evolution could have been altered,[start] by the diabetes [end],[start] by changes to antibiotic usage [end],22753003
69,Stem cell therapy offers,[start] a major cause of cancer [end],[start] a solution to the cited challenges of islet transplantation [end],23572052
70,This qualitative study enables,[start] the [UNK] of [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] us to understand what patients feel [end],32168173
71,Novel concepts regarding the rate have been put,[start] to explore the [UNK] of [UNK] [UNK] [end],[start] forward [end],19502978
72,the patients ' contribution to overall mortality statistics is,[start] in the study of [UNK] in the [UNK] [end],[start] disproportionately large because of the high rate of microvascular complications [end],12762954
73,Its epidemiological background make,[start] [UNK] [end],[start] Sardinia an ideal region for investigating environmental [end],20920447
74,strategies to prevent,[start] [UNK] [end],[start] the diagnosis of type 1 diabetes in people [end],31533907
75,the patients ' contribution to overall morbidity is,[start] one of the leading causes of disability worldwide [end],[start] disproportionately large because of the high rate of microvascular complications [end],12762954
76,this article addresses,[start] the study of [UNK] in the treatment of gastric cancer [end],[start] clinical strategies to mitigate cardiovascular risks [end],29407057
77,Study design were administered to,[start] the effect of [UNK] on the disease s role of [UNK] [end],[start] 167 youth [end],16769387
78,This study showed,[start] that a high rate of prom [end],[start] that patients with DMT1 have a faster decrease in PHF over time than comparably aged persons from the general population [end],15789936
79,Specific items with greatest improvement were,[start] as a significant public health concern [end],[start] when to monitor ketone levels ( +79 % [end],31227198
80,Genetic factors act together,[start] to cardiovascular disease [end],[start] to accelerate development of type 1 diabetes [end],25880886
81,those same therapeutic strategies seek to prevent,[start] mortality [end],[start] progression to insulin - dependence or even to reestablish normal glucose tolerance [end],7821148
82,Current research focuses,[start] on the latest advances in clinical clinical trials including [UNK] [end],[start] on the metabolic [end],31343814
83,1 diabetes is associated with,[start] the most common cause of death among women [end],[start] several empirically supported and dietary restraint [end],19323958
84,Patients offered,[start] to provide the child with the skills necessary to manage diabetes over a lifetime [end],[start] CBT [end],28419661
85,this study examined,[start] the role of these in treatment strategies [end],[start] the humanistic burden of T1 DM in patients relative to those without the condition across a number of health outcomes including health status [end],27812145
86,NDRE impact,[start] higher levels of da [end],[start] higher levels of EP [end],26771087
87,The type of insulin therapy did not significantly affect,[start] the risk of microvascular complications such as disease [end],[start] the percentage of the wear - day spent in sedentary time [end],31083260
88,the IAA are,[start] a complex disease that has a high incidence [end],[start] most prevalent [end],22558802
89,The initial immune response engenders,[start] the effect of [UNK] the disease [end],[start] secondary responses which collectively result in impairment of beta - cell function [end],20377666
90,Diabetes management guidelines offered by health care teams understandably place,[start] a high burden of responsibility on caregivers to monitor disease outcomes [end],[start] a high burden of responsibility on caregivers to monitor physical activity with the ultimate goal of maintaining tight glycemic control [end],25009119
91,These studies are,[start] the potential for early detection of cardiovascular disease risk women and diabetes mellitus [end],[start] large [end],18446141
92,This study aims,[start] to provide the child with the skills necessary to manage diabetes over a lifetime [end],[start] to determine at what age during childhood the GAD are most prevalent [end],22558802
93,Earlier trials showed,[start] that you might die [end],[start] that the natural progression of disease can be altered with conventional immune suppression [end],16932263
94,these results suggest,[start] that the effect of [UNK] [UNK] [UNK] [UNK] in the [UNK] [end],[start] that treatment strategies for T1 DM should balance clinical burden [end],27812145
95,II / III clinical trials have demonstrated,[start] a role in [UNK] in the [UNK] [end],[start] safety To date [end],17412305
96,Assessment of sedentary behaviors in children consisted,[start] the association between the coronary artery disease [end],[start] of 215 children with T1 D in comparison to healthy controls.The study group [end],31083260
97,Treatment produced significant reductions in blood glucose eating,[start] beneficial in [UNK] [end],[start] disorder symptoms [end],25330352
98,her hemoglobin A1c level was,[start] [UNK] [end],[start] low ( 7.1 % On admission [end],30918186
99,Patients in the cohort had,[start] a significant role in [UNK] [end],[start] a faster decrease in three RAND - EQ - VAS over time than the estimated decrease in the general population [end],15789936
100,almost 30 - year old model has stood,[start] to be aware of the increased risk of [UNK] [end],[start] the test of time [end],23786297
101,A modified multiple baseline design was used,[start] to provide a timely breast cancer the treatment approach as [UNK] for the treatment options [end],[start] to determine if improved on - off - task behavior was associated with better glycemic control [end],16492429
102,The creation of a network of study sites or cooperative groups will allow,[start] the risk of microvascular complications such as retinopathy in patients with type 2 diabetes mellitus [end],[start] for the implementation of new protocols [end],10496000
103,the major hypotheses associated,[start] with the development of t1d [end],[start] with discussing the future frontiers [end],23912764
104,The rapid increase in disease frequency over the past 50 years or more has been,[start] as a significant association between sex [end],[start] too rapid to attribute to genetics [end],32475523
105,particular allele combinations affect,[start] [UNK] [end],[start] T cell recognition to autologous molecules [end],31534209
106,These findings lead,[start] to explore the [UNK] of [UNK] [UNK] [end],[start] to speculation about the interaction of these two diseases in our patient [end],1557342
107,The purpose of prediction is,[start] to review clinical studies [end],[start] initial studies suggest that it is possible to modify the disease process [end],15536874
108,The model of care in childhood diabetes mellitus must be focussed,[start] in the study of [UNK] in the past 10 years [end],[start] on earlier screening if adverse outcomes are to be reduced [end],15813600
109,Pilot studies of new immunomodulatory agents with improved side - effect profiles have demonstrated,[start] that the effect of [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] promise in preserving c - peptide in new - onset type 1 diabetes patients recently [end],17940453
110,Summary : Functional alterations in the microbiota are linked to pathogenesis of T1 D provide,[start] to provide the association of cardiovascular disease risk [end],[start] a rationale for future investigations [end],31145129
111,This article reviews,[start] the role of these in [UNK] [UNK] [end],[start] economic methodologies developed for estimating cost of illness [end],20723816
112,These articles included,[start] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],"[start] 13 quantitative ( 7 cross-sectional , 2 cohort [end]",29944065
113,Hispanic children using,[start] [UNK] [end],[start] insulin pumps [end],32889433
114,This review will cover,[start] the association of cardiovascular disease [end],[start] the epidemiologic characteristics of T1 DM [end],31081398
115,a complex disease to manage,[start] disease [end],[start] children [end],17059972
116,both approaches have,[start] the potential to improve patient behaviors in patients with diabetes [end],[start] their disadvantages [end],23648893
117,The microbiota are,[start] the goal of improving understanding [end],[start] an important part of the internal environment [end],28188825
118,Novel biomarkers have allowed,[start] the role of these in cancer patients [end],[start] the introduction of bioinformatics for assimilating the new data into clinical tools [end],32421967
