15894099,Breast cancer remains a public - health issue on a global scale.
15894099,We report new information about the disease from the past 5 years.
15894099,"Early age at first birth , increasing parity , and tamoxifen use are related to long - term lifetime reduction in breast - cancer risk."
15894099,Ductal carcinomas in situ has been suggested to be renamed ductal intraepithelial neoplasia to emphasise its non-life-threatening nature.
15894099,"An alternative approach , the progenitor / stem cell theory , predicts that only some tumour cells cause cancer progression and that these should be targeted by treatment."
15894099,"Mammography and ultrasonography are still the most effective for women with non-dense and dense breast tissues , respectively."
15894099,"Additionally , MRI , lymphatic mapping , the nipple - sparing mastectomy , partial breast irradiation , neoadjuvant systemic therapy , and adjuvant treatments are promising for subgroups of breast - cancer patients."
15894099,"Although tamoxifen can be offered for endocrine - responsive disease , aromatase inhibitors are increasingly used."
15894099,Assessment of potential molecular targets is now important in primary diagnosis.
15894099,Tyrosine - kinase inhibitors and other drugs with anti-angiogenesis properties are currently undergoing preclinical investigations.
31456179,Breast cancer is the most frequently diagnosed cancer in women and ranks second among causes for cancer related death in women.
31456179,Evidence in literature has shown that the past and ongoing research has an enormous implication in improving the clinical outcome in breast cancer.
31456179,"This has been attributed to the progress made in the realm of screening , diagnosis and therapeutic strategies engaged in breast cancer management."
31456179,"However , poor prognosis in TNBC and drug resistance presents major inhibitions which are also current challenges for containing the disease."
31456179,"Similarly , a focal point of concern is the rising rate of breast cancer incidence and mortality among the population of under developed world."
31456179,"In this chapter , an overview of the current practices for the diagnosis and treatment of breast cancer and associated impediments has been provided."
20521754,Understanding breast cancer treatment options can help family physicians care for their patients during and after cancer treatment.
20521754,"This article reviews typical treatments based on stage , histology , and biomarkers."
20521754,Lobular carcinoma in situ does not require treatment.
20521754,Ductal carcinoma in situ can progress to invasive cancer and is treated with breast - conserving surgery and radiation therapy without further lymph node exploration or systemic therapy.
20521754,Stages I and II breast cancers are usually treated with breast - conserving surgery and radiation therapy.
20521754,Radiation therapy following breast - conserving surgery decreases mortality and recurrence.
20521754,"Sentinel lymph node biopsy is considered for most breast cancers with clinically negative axillary lymph nodes , and it does not have the adverse effects of arm swelling and pain that are associated with axillary lymph node dissection."
20521754,"Choice of adjuvant systemic therapy depends on lymph node involvement , hormone receptor status , ERBB2 ( formerly HER2 or HER2 / neu ) overexpression , and patient age and menopausal status."
20521754,"In general , node - positive breast cancer is treated systemically with chemotherapy , endocrine therapy ( for hormone receptor - positive cancer ) , and trastuzumab ( for cancer overexpressing ERBB2 )."
20521754,Anthracycline - and taxane - containing chemotherapeutic regimens are active against breast cancer.
20521754,Stage III breast cancer typically requires induction chemotherapy to downsize the tumor to facilitate breast - conserving surgery.
20521754,"Inflammatory breast cancer , although considered stage III , is aggressive and requires induction chemotherapy followed by mastectomy , rather than breastconserving surgery , as well as axillary lymph node dissection and chest wall radiation."
20521754,"Prognosis is poor in women with recurrent or metastatic ( stage IV ) breast cancer , and treatment options must balance benefits in length of life and reduced pain against harms from treatment."
28260181,"Despite dramatic advances in cancer research setting , breast cancer remains a major health problem and represents currently a top biomedical research priority."
28260181,"Worldwide , breast cancer is the most common cancer affecting women , and its incidence and mortality rates are expected to increase significantly the next years."
28260181,Recently the researchers ' interest has been attracted by breast cancer arising in young women.
28260181,"Current evidence suggests that in women aged < 45 years , breast cancer is unquestionably the leading cause of cancer - related deaths."
28260181,This type of cancer seems to be highly heterogeneous and has potentially aggressive and complex biological features.
28260181,"However , management strategies , recommendations and options are not age based and the ' complex ' biology of this type of cancer remains uncertain and unexplored."
28260181,"In this review , we summarize the latest scientific information on breast cancer arising in young women highlighting the heterogeneity and the complex nature of this type of cancer."
28298516,"Breast cancer care has improved markedly in recent decades , but new advancements in diagnosis and treatment depend on translating genomics and precision medicine into clinical care."
28298516,"This article discusses the basics of genomics , breast cancer biomarkers and subtypes , and the effects of genomic advancements on future breast cancer diagnosis , treatment , and survival."
28298516,The article also presents challenges related to introducing precision medicine into cancer care and the role of imaging in breast cancer diagnosis and treatment in precision medicine.
29284222,Introduction : Breast cancer is the most common cancer among women and is the second cancer frequently occurring worldwide of newly - diagnosed cancers.
29284222,"There is much evidence showing the influence of life style and environmental factors on the development of mammary gland cancer ( high - fat diet , alcohol consumption , lack of physical exercise ) , the elimination of which ( primary prevention ) may contribute to a decrease in morbidity and mortality."
29284222,"Secondary prevention , comprising diagnostic tests ( e.g. mammography , ultrasonography , magnetic resonance imaging , breast self - examination , as well as modern and more precise imaging methods ) help the early detection of tumours or lesions predisposing to tumours."
29284222,Objective : The aim of this study paper is to review current knowledge and reports regarding primary and secondary prevention of breast cancer.
29284222,"State of knowledge : It is estimated that nearly 70 % of malign tumours are caused by environmental factors , whereas in breast cancer this percentage reaches 90 - 95 %."
29284222,"There are national programmes established in many countries to fight cancer , where both types of prevention are stressed as serving to decrease morbidity and mortality due to cancers."
29284222,Conclusions : Cancer prevention is currently playing a key role in the fight against the disease.
29284222,"Behaviour modification , as well as greater awareness among women regarding breast cancer , may significantly contribute towards reducing the incidence of this cancer."
29284222,"Another important aspect is the number of women undergoing diagnostic tests , which still remains at an unsatisfactory level."
21969133,"In this article , the American Cancer Society provides an overview of female breast cancer statistics in the United States , including trends in incidence , mortality , survival , and screening."
21969133,"Approximately 230,480 new cases of invasive breast cancer and 39,520 breast cancer deaths are expected to occur among US women in 2011."
21969133,Breast cancer incidence rates were stable among all racial / ethnic groups from 2004 to 2008.
21969133,"Breast cancer death rates have been declining since the early 1990s for all women except American Indians / Alaska Natives , among whom rates have remained stable."
21969133,"Disparities in breast cancer death rates are evident by state , socioeconomic status , and race / ethnicity."
21969133,"While significant declines in mortality rates were observed for 36 states and the District of Columbia over the past 10 years , rates for 14 states remained level."
21969133,Analyses by county - level poverty rates showed that the decrease in mortality rates began later and was slower among women residing in poor areas.
21969133,"As a result , the highest breast cancer death rates shifted from the affluent areas to the poor areas in the early 1990s."
21969133,"Screening rates continue to be lower in poor women compared with non-poor women , despite much progress in increasing mammography utilization."
21969133,"In 2008 , 51.4 % of poor women had undergone a screening mammogram in the past 2 years compared with 72.8 % of non-poor women."
21969133,Encouraging patients aged 40 years and older to have annual mammography and a clinical breast examination is the single most important step that clinicians can take to reduce suffering and death from breast cancer.
21969133,Clinicians should also ensure that patients at high risk of breast cancer are identified and offered appropriate screening and follow - up.
21969133,"Continued progress in the control of breast cancer will require sustained and increased efforts to provide high - quality screening , diagnosis , and treatment to all segments of the population."
24716497,Breast cancer is the most frequently diagnosed cancer in women and ranks second among causes for cancer related death in women.
24716497,The ability to identify and diagnose breast cancer has improved markedly.
24716497,Treatment decisions which were based in the past predominantly on the anatomic extent of the disease are shifting to the underlying biological mechanisms.
24716497,"Gene array technology has led to the recognition that breast cancer is a heterogeneous disease composed of different biological subtypes , and genetic profiling enables response to chemotherapy to be predicted."
24716497,Breast conservation became an established standard of care and the oncoplastic approach enables wide excisions without compromising the natural shape of the breast.
24716497,Sentinel lymph node biopsy has replaced axillary dissection as the standard procedure to stage the axilla and spared many patients the excess morbidity of axillary dissection.
24716497,Targeted therapy to the oestrogen receptor plays a major role in systemic therapy ; pathways responsible for endocrine resistance have been targeted as well.
24716497,Biological therapy has been developed to target HER2 receptor and combination of antibody drug conjugates linked cytotoxic therapy to HER2 antibodies.
24716497,Meaningful improvements in survival resulted from the new effective systemic agents and patients with metastasis are likely to have a longer survival.
26059925,"Breast cancer is the most common cancer in women , and survivors with this diagnosis account for almost one fourth of the over 14 million cancer survivors in the US."
26059925,"After several decades of basic and clinical trials research , we have learned much about the heterogeneity of breast cancer and have evolved a complex and multidisciplinary treatment approach to the disease."
26059925,"Increasingly , we are paying attention to the long term and late effects of breast cancer treatment , and this is largely the subject of this volume."
26059925,"In this chapter , the authors introduce the topic of breast cancer survivorship and highlight the organization and content of this volume , briefly describing the contents of the subsequent chapters."
28862198,It has been suggested that physical activity in breast cancer patients can not only improve quality of life.
28862198,"Influences on physical and psychological levels have been evaluated , but effects on the immune system of breast cancer patients are hardly known."
28862198,A PubMed search identified relevant trials and meta - analyses from 1970 to 2013.
28862198,This review summarizes the results of international studies and the current discussion of effects of physical activity on the immune system of breast cancer patients.
28862198,Highlighted are effects of physical activity on the immune system.
28862198,Seven original articles and 14 reviews included in this review.
28862198,"Two original and the review articles includes other tumor entities besides breast cancer.Evaluated methods such as dose - response relationships for exercise in oncology , hardly exist."
28862198,Increased immunological anti-cancer activity due to physical activity is probably mediated via an increase in number and cytotoxicity of monocytes and natural killer cells and cytokines.
28395765,"This review will give a general overview of the impact of breast cancer , as well as breast cancer risk factors , identification of high - risk groups , screening modalities , and guidelines for screening average - risk and high - risk individuals , including a case discussion of the primary care provider 's approach to screening."
30005774,Inflammatory breast cancer ( IBC ) is a rare form of breast cancer that accounts for only 2 % to 4 % of all breast cancer cases.
30005774,"Despite its low incidence , IBC contributes to 7 % to 10 % of breast cancer caused mortality."
30005774,"Despite ongoing international efforts to formulate better diagnosis , treatment , and research , the survival of patients with IBC has not been significantly improved , and there are no therapeutic agents that specifically target IBC to date."
30005774,The authors present a comprehensive overview that aims to assess the present and new management strategies of IBC.
31491663,"Metaplastic breast carcinomas ( MPBC ) are rare , aggressive and relatively chemorefractory tumors with a high unmet need."
31491663,"While most are "" triple negative "" and lack expression of estrogen , progesterone and HER2 receptors , MPBC are associated with worse outcomes compared to conventional triple negative invasive tumors."
31491663,"MPBCs are genetically heterogeneous and harbor somatic mutations , most frequently in TP53 , PIK3CA and PTEN , with emerging studies suggesting a role for novel targeted therapies."
31491663,These tumors have also been associated with overexpression of PD - L1 and tumor - infiltrating lymphocytes suggesting an endogenous immune response and therefore a rationale for treatment with immunotherapies.
31491663,"Here , we focus on therapeutic options for this difficult to treat breast cancer subtype and encourage physicians to consider targeted therapies / immunotherapies as part of ongoing clinical trials."
24283956,Breast cancer is the most common cancer amongst women in the United States and around the world.
24283956,"Although widespread use of adjuvant chemotherapeutic and hormonal agents has improved mortality from breast cancer , it remains challenging to determine on an individual basis who will benefit from such treatments and who will be likely to encounter toxicities."
24283956,"With the rising costs of healthcare and the introduction of new targeted therapies , use of biomarkers has emerged as a method of assisting with breast cancer diagnosis , prognosis , prediction of therapeutic response , and surveillance of disease during and after treatment."
24283956,"In the following review , prognostic and therapeutic biomarkers , their utility in the management of patients with breast cancer , and current recommendations regarding their clinical use will be discussed."
24171821,"Due to the high heterogeneity of breast cancers , numerous recent patents describe improved methods of detection and classification which promise better patient prognosis and treatment."
24171821,"In particular , there has been a shift towards more effective genetic screening to identify specific mutations associated with breast tumours , which may lead to "" personalised medicine "" with improved outcomes."
24171821,Two challenging areas of breast cancer research involve the development of treatments for the highly aggressive triple negative breast cancer subtype as well as the chemotherapy - resistant cancer stem cell subpopulation.
