,Subj_Pred,Obj,Obj_true,PMID
0,This supplement is intended,[start] to the development of a predominant factor [end],[start] to provide a timely snapshot of the political aspects of this environment as it applies to practice internationally [end],23257320
1,the decline was,[start] a major public health problem [end],[start] 26 [end],9085391
2,contemporary cardioprotective therapies must include,[start] the risk of gastric cancer [end],[start] adjunctive exercise and lifestyle interventions [end],28885265
3,clonal haematopoiesis in the absence of overt haematologic alterations is,[start] the the same time [end],[start] common amongst the ageing population [end],32715520
4,venlafaxine to increase,[start] the same time [end],[start] blood pressure [end],18785947
5,"Development of robust policies and commitment to collaboration among professional organizations , community partners , and policy makers to improve",[start] the same time [end],[start] cardiovascular health [end],31992050
6,these factors may provide,[start] the risk of gastric cancer [end],[start] an opportunity to reduce deaths [end],7736485
7,More systematic efforts for early detection are required,[start] in the clinic [end],[start] across all Latin American countries to improve health conditions particularly for women [end],20554175
8,The decline in protein homeostasis has been associated,[start] with the development of diabetes [end],[start] with the development of cardiac hypertrophy [end],28757291
9,This review is intended,[start] to the development of the treatment of gastric cancer [end],"[start] to explore views of the rarely mentioned mechanism , and the cardiovascular effects of low levels of lead exposure [end]",30404996
10,our understanding of the impact of clonal haematopoiesis is,[start] the first six months of the year [end],[start] in its infancy [end],32715520
11,cardiovascular risk factors may underlie,[start] the risk of gastric cancer [end],[start] the association with increased morbidity [end],26972035
12,common syndromes prolonged,[start] the bands [end],[start] QT interval [end],18319102
13,these mutations have been associated,[start] with the development of diabetes [end],[start] with higher rates of cardiovascular disease suggesting a previously unrecognized link between somatic mutations in hematopoietic cells and chronic disease [end],30185689
14,cardiovascular disease is,[start] a major role in the development of gastric cancer [end],[start] also a leading cause of mortality [end],20113258
15,us to explore,[start] the bands [end],[start] the gene - environment interactions [end],31378756
16,"The selective targeting of modifiable risk factors in childhood , including body mass index holds",[start] the same time [end],[start] promise in reducing the burden of adult cardiovascular disease [end],29345597
17,Latin American countries have experienced,[start] the most studied mechanisms underlying gastric cancer [end],[start] rapid socioeconomic changes [end],20554175
18,cardiovascular disease patients focusing,[start] in the development of type 2 diabetes mellitus [end],[start] on endurance exercise [end],19124415
19,"Epigenetic biomarkers , which include DNA methylation are",[start] a major role in the development of gastric cancer [end],[start] modifiable [end],24768945
20,the progress achieved,[start] to the development of the treatment of gastric cancer [end],[start] by medical research in understanding the pathophysiology of cardiovascular disease [end],18601595
21,Business cycles affect,[start] the first time [end],[start] people 's lives [end],24328889
22,women as a group have not focused,[start] the most important advances in the field of gastric cancer [end],[start] on this disease entity [end],12084395
23,These studies discussed,[start] in the field of gastric cancer [end],[start] several major themes [end],32139199
24,Recent findings confirm,[start] the same time [end],[start] antioxidant activity of the renin - angiotensin - aldosterone antagonists [end],18090678
25,This review briefly summarizes,[start] the role of the development of gastric cancer [end],[start] what is known about how long - term aerobic exercise can reduce the atherogenic activity of endothelial cells [end],20932264
26,the clinical acumen filtered through the best available studies in the general population to treat,[start] the first six months of the year [end],[start] individual renal transplant recipients given their high cardiovascular mortality [end],18287250
27,The associated risks predispose,[start] to the development of diabetes possibly through the amelioration of their antiinflammatory actions [end],[start] to the development of cardiovascular disease [end],1772731
28,The urocortins are,[start] the same time [end],[start] a group of recently defined peptide members of the corticotrophin - releasing factor family [end],21689660
29,sustained efforts for research are required,[start] in the clinic [end],[start] across all Latin American countries to improve health conditions particularly for women [end],20554175
30,The current review summarizes,[start] the role of the development of gastric cancer [end],[start] recent evidence on ethnic differences in its correlates with acquired differences in plasma lipid [end],28338521
31,The risks for coronary heart disease are,[start] a major role in the development of gastric cancer [end],[start] well - known [end],25387321
32,The independence of resistin in disease prediction complicated,[start] in the clinic [end],"[start] by its confounders , such as C - reactive protein [end]",22498016
33,non-governmental organizations will contribute,[start] to the treatment of the patient [end],[start] to improving the lifestyle of the entire community through their activities [end],29473518
34,Conclusion : Raising prevention are,[start] a high burden of responsibility on caregivers to monitor diet [end],[start] the key components to controlling cardiovascular diseases in refugees [end],32139199
35,Avoiding hypokalemia is,[start] the most studied mechanisms underlying gastric cancer [end],[start] beneficial in several cardiovascular disease states including heart failure [end],14736430
36,much accumulating evidence linking,[start] the intensity of improvised free jazz with the best group on the best group on the use of the lives,[start] modifiable risk factors that are already present in childhood [end],29345597
37,inadequate sleep duration confers heightened,[start] the same time [end],[start] cardiovascular risk [end],26972035
38,These studies have focused,[start] the risk of gastric cancer [end],[start] on a variety of agents including periodontal pathogens [end],16222630
39,The results of this study suggest,[start] that the favorable effects of other heart rate lowering agents [end],[start] that in assisting individuals to modify cardiovascular disease risk must address smoking as a package [end],9095456
40,a slow process can lead,[start] to the development of a predominant factor [end],[start] to fatal events over time [end],22424430
41,The results of primary trials have shown,[start] that the risk of gastric cancer is largely [end],[start] conflicting evidence [end],12243615
42,the response to mirtazapine may improve,[start] the risk of gastric cancer [end],[start] mortality [end],18785947
43,The results of this study suggest,[start] that the favorable effects of other heart rate lowering agents [end],[start] that in assisting individuals to modify other professionals must address body mass index as a package [end],9095456
44,the evidence linking,[start] the same time [end],[start] epigenetic changes [end],24768945
45,Coronary heart disease are,[start] a major role in the development of gastric cancer [end],[start] the commonest causes of illness for people [end],8057957
46,Circular RNA are,[start] a high burden of responsibility on caregivers to monitor diet [end],[start] endogenous transcripts that display differential expression across species [end],30341894
47,Recent large population studies have suggested,[start] that the risk of gastric cancer is largely [end],"[start] that the effect of cardiovascular disease is modified by factors such as age , gender , cardiovascular risk factor status , drinking type of alcohol [end]",12569230
48,studies have presented,[start] to the development of a predominant factor [end],[start] results on the association between shift work and cardiovascular disease [end],6535244
49,cardiovascular outcomes are,[start] a major role in the development of gastric cancer [end],[start] the basis for the application of gender - based evaluation of pathophysiology of cardiovascular disease in women [end],23244361
50,technology must be merged,[start] a traditional defined benefit program [end],[start] into action [end],31992050
51,The overall picture to evolve,[start] to the underlying causes of death in women [end],[start] in a developing Europe [end],24014390
52,3 D printing is having,[start] in the united states [end],[start] a two-fold benefit [end],28942268
53,The male hypertension was,[start] a significant effect on the incidence of t1 d supplementation [end],[start] however suppressed by concurrent changes in smoking [end],24328889
54,CVD in sub-Saharan Africa spans,[start] a major role in the development of gastric cancer [end],[start] the spectrum from [end],18607395
55,the treatment of cardiovascular diseases is,[start] a major role in the development of gastric cancer [end],[start] similar in both genders [end],29744010
56,Methods used a relational database management system to manage,[start] the same time [end],[start] the information of these data [end],15458691
57,the respective age groups had the decline of,[start] the first six months of the year [end],[start] 40 % [end],9085391
58,B. Specific risk factors for developing post-transplant cardiovascular disease include,[start] the same time [end],[start] hyperlipidaemia [end],12091628
59,More systematic efforts for research are required,[start] in the clinic [end],[start] across all Latin American countries to improve health conditions particularly for women [end],20554175
60,laboratory biomarkers are,[start] a major role in the development of gastric cancer [end],[start] an essential support to modern practice of medicine allowing a staging [end],19355954
61,the differences in management are discussed,[start] in the clinic [end],[start] In this review [end],11728241
62,The integration of new biomarkers can improve,[start] the risk of gastric cancer [end],[start] CVD risk stratification management [end],26647911
63,Cardiovascular disease constitutes,[start] the risk of gastric cancer [end],[start] an emerging public health problem in most countries even though mortality profiles vary according to inherent risk factors [end],9200017
64,The integration of CVD risk factors can improve,[start] the risk of gastric cancer [end],[start] CVD disease management [end],26647911
65,Reducing cardiovascular risk factors requires,[start] the risk of gastric cancer [end],[start] an integrative approach that is best accomplished by a team of health care professionals [end],18287250
66,a timely correction of calcium - phosphate disorders leads,[start] to tailor the timing [end],[start] to a significant improvement in the cardiovascular conditions of CKD patients [end],15490402
67,cholesterol pressure - lowering agents into a fixed - dose combination pill called,[start] the risk of gastric cancer [end],[start] the cardiovascular polypill has been proposed as complementary care in the prevention of cardiovascular diseases in both the secondary preventions of cardiovascular disease [end],27083928
68,diverse types of cardiovascular disease respond,[start] to the development of the treatment of gastric cancer [end],[start] to different treatments [end],21109206
69,the effect of alcohol is modified,[start] in the clinic [end],"[start] by factors such as age , gender , cardiovascular risk factor status , drinking pattern [end]",12569230
70,Acquired cardiovascular diseases such as peripheral artery disease contribute,[start] to the development of diabetes possibly through the amelioration of their antiinflammatory actions [end],[start] to more than one - third of worldwide morbidity [end],21689660
71,Observational data have helped,[start] the role of the development of gastric cancer [end],[start] to identify those women at a higher risk of mortality attributable to coronary artery disease [end],21929342
72,new opportunities could greatly modernize,[start] that the cabinet was sheltering a top croatian war crimes suspect after the great western world war [end],[start] surveillance if coordinated in a pragmatic matter [end],31992050
73,The results of this study suggest,[start] that the favorable effects of other heart rate lowering agents [end],[start] that in assisting individuals to modify other professionals must address blood pressure as a package [end],9095456
74,The findings suggest,[start] that the favorable effects of other heart rate lowering agents [end],[start] that their risk factors are increased for Syrian refugees in Turkey [end],32139199
75,sex - specific aspects should be,[start] in the field of gastric cancer [end],[start] more intensively considered in research / practice to improve clinical outcomes for female cardiovascular disease patients [end],22070582
76,the relevant literature known,[start] that the risk of gastric cancer is largely [end],[start] to incorporation of healthy changes tips in defined variable cardiovascular risk factors [end],29473518
77,Increasing evidence has implicated,[start] that the risk of gastric cancer is largely [end],[start] circRNA in the pathogenesis of multiple cardiovascular diseases [end],30341894
78,incidence of disease related,[start] to the development of diabetes possibly through the amelioration of their antiinflammatory actions [end],[start] to exposure to shift work studies [end],6535244
79,A familiarity with current dietary and drug treatment of lipid disorders is,[start] a major role in the development of gastric cancer [end],[start] at the core of an evidence - based approach to dyslipidemia management in the patient with established cardiovascular diseases [end],11288327
