,Subj_Pred,Obj,Obj_true,PMID
0,ROBO2 were detected,[start] in [UNK] [end],[start] with methylation.specific PCR in 36 [end],27461616
1,mRNAs play,[start] a role in the development of gastric cancer [end],[start] critical roles in the tumorigenesis of GC [end],27547004
2,Gastric cancer remains,[start] the most common cause of cancer death [end],[start] a challenge for clinicians [end],16825900
3,the mortality from distal gastric cancer has declined,[start] similar between the two groups [end],[start] concomitant with the eradication of infection [end],12590229
4,regimens have resulted,[start] in the [UNK] of the treatment of gastric cancer [end],[start] in the contemporary treatment of GC [end],26873521
5,its natural history is,[start] [UNK] [end],[start] relatively long [end],17249273
6,active agents improve,[start] the risk of lung cancer [end],[start] the survival of gastric cancer patients [end],26494953
7,The exploration targeted,[start] the current [UNK] of cardiovascular disease [end],[start] therapy of neoadjuvant treatment in LAGC [end],33256300
8,Recent encouraging results with the preoperative approach need,[start] to treat dogs with risk factors [end],[start] to be studied prospectively compared to postoperative chemoradiation [end],16166979
9,secondary prevention of gastric cancer is,[start] the most important health problem [end],[start] possible [end],12590229
10,The provision of conversion therapy for stage IV GC patients might be,[start] important [end],[start] one of the main roles of surgical oncologists in the near future [end],26643880
11,the main treatment for advanced gastric cancer is,[start] [UNK] [end],[start] the combination of immunotherapy [end],28671042
12,H. pylori induces,[start] cellular [UNK] cell of [UNK] [end],[start] cellular alterations in genes [end],21088411
13,the publication of a large phase III neoadjuvant chemotherapy clinical trial suggested,[start] [UNK] [end],[start] that this technique may downstage tumors [end],15297947
14,Management of gastric cancer from screening to definitive treatment varies,[start] substantially between eastern and western countries owing to numerous factors including government incentives to carry out population wide screening programmes,"[start] substantially between Eastern and Western countries owing to numerous factors , including government incentives to carry out population - wide screening programmes to detect early disease , differences in biological , patient accessibility to effective treatment [end]",31178345
15,the chemotherapies used,[start] [UNK] [end],[start] for palliation [end],19712167
16,several aspects of surgical intervention remain,[start] to be [UNK] [end],[start] controversial [end],31455923
17,Methods were taken,[start] to examine the evidence [end],[start] into account in this review [end],17229238
18,Incidence of EGC shows,[start] a significant effect [end],[start] considerable geographic variation [end],17249273
19,a steady decline in the incidence rates of gastric carcinoma has been observed,[start] responsible for the immune system [end],[start] in the last century worldwide [end],25320505
20,the second leading cause of cancer related mortality in China seriously endanger,[start] the patients [end],[start] the lives of Chinese people [end],33256300
21,this strategy be applied,[start] a [UNK] [end],[start] to this high - risk population [end],12590229
22,the disease results,[start] in the [UNK] of [UNK] [end],[start] in late - stage diagnosis often [end],26809278
23,toxicities may be,[start] the same [end],[start] severe [end],21129674
24,review studies conducted,[start] to assess the effects of [UNK] [end],[start] on Mexican patients [end],24782602
25,The incidence of gastric cancer has been declining globally,[start] critical issues [end],[start] in the last decades [end],28176656
26,H. pylori eradication prevents,[start] the association of the most important molecular mechanisms with disease [end],[start] the progression of AG and IM [end],25547086
27,anticancer research has focused,[start] on the use of [UNK] [end],[start] on the various genetic markers In the field of genetics [end],25997695
28,H. pylori infection are,[start] the most important [UNK] [UNK] [end],[start] highly prevalent Korea [end],24659868
29,further studies are,[start] important [end],[start] necessary to achieve validation [end],25278684
30,ongoing debate regarding,[start] the most important role in the development of lung cancer [end],"[start] the role of adjuvant treatment In advanced disease , palliation of symptoms [end]",15890270
31,prevention of H. pylori colonization can reduce,[start] the risk of gastric cancer [end],[start] the incidence of gastric cancer [end],27184043
32,detection is dependent on,[start] the [UNK] of [UNK] [end],[start] a low threshold [end],1549800
33,the family is,[start] a [UNK] [end],[start] the core unit of transmission [end],12590229
34,long ncRNAs play,[start] a role [end],[start] critical roles in the tumorigenesis of GC [end],27547004
35,This review highlights,[start] the current [UNK] of cardiovascular disease available [end],"[start] recent advances in studies of gastric CTCs , including the biological molecular characteristics of gastric CTCs [end]",28147337
36,gastric cancer participating,[start] in the most frequently diagnosed cancer in women [end],[start] in immunosuppression [end],24259966
37,The treatment of gastric cancer patients is,[start] a disease [end],[start] mainly radical surgical resection while patients with metastatic tumor have great challenges to radical surgery [end],31276633
38,Surgical resection is,[start] important in the treatment of gastric cancer [end],[start] the gold standard curative treatment for gastric cancer [end],10074655
39,evidence to be,[start] the most important ongoing research [end],[start] insufficient [end],26917602
40,treatment can reduce,[start] lung cancer [end],[start] the incidence of gastric cancer [end],27184043
41,growth hormone receptor signaling,[start] [UNK] immune system [end],[start] activation molecule family 8 [end],30873760
42,"The eligible literatures with publication deadline of May 3 , 2019 were collected",[start] for subgroups of breast cancer patients [end],[start] from CNKI databases [end],31453724
43,gastric cancer will remain,[start] the most common cancer cause of cancer death [end],[start] a serious medical problem due to its high mortality rates [end],16836062
44,this technique may downstage,[start] [UNK] [UNK] [end],[start] tumors [end],15297947
45,The International Agency for Research on Cancer reported,[start] the [UNK] [UNK] [end],[start] a positive association between consumption of processed meet [end],27531538
46,The results of the analysis showed,[start] that the current [UNK] may be closely related to lung cancer with the significant effect [end],[start] that RASSF2 had a significantly higher level of methylation in gastric cancer [end],31453724
47,the most important advances have been achieved,[start] in the past 20 years on account of its clinical application advantages such as [UNK] invasive visual or [UNK] [end],[start] in the adjuvant setting for patients with locally advanced disease In recent years [end],18257608
48,This review outlines,[start] the risk of gastric cancer [end],[start] the strengths of current mouse models of their relevance to the pre-clinical development of new therapeutics [end],26809278
49,primary resected cancers correlated,[start] in [UNK] [UNK] [end],[start] with clinicopathological features [end],27531538
50,Apatinib improved,[start] the most serious aspects of lung cancer [end],[start] the median overall survival of patients with advanced GC and progressive disease after two or more lines of prior chemotherapy of nearly 3 months [end],27531538
51,adjacent organs are not,[start] a number of immune abnormalities in the disease [end],[start] routinely need to be preserved in order [end],25320505
52,A total of eight articles were included,[start] in [UNK] [end],[start] in the study [end],31453724
53,an accumulating body of evidence has deepened,[start] the [UNK] [end],[start] our understanding of ncRNAs In the past few years [end],27547004
54,search for better targeted agents will help,[start] the need for a new method of research [end],[start] develop better treatments for patients with advanced gastric cancer [end],16166979
55,Cancer Research published,[start] the most important component of the evaluation of the most the [UNK] [end],[start] the highest number of papers [end],26873521
56,pathogenesis are not known,[start] a [UNK] [end],[start] yet [end],16015679
57,Considerable research efforts towards the pathogenesis of gastric cancer have not been translated,[start] in the past 20 years on account of its clinical application advantages such as [UNK] invasive visual or [UNK] [end],[start] into treatment success [end],11512601
58,the 5 - year survival rate of early gastric cancer can reach,[start] [UNK] [end],[start] > [end],28671042
59,integrated research in molecular pathology has clarified,[start] the risk of gastric cancer in men in the literature [end],[start] the details of epigenetic abnormalities of cancer - related genes Over the past 15 years [end],16015679
60,genetically engineered mouse models of gastric cancer have provided,[start] potential for tzds in the past decade [end],[start] significant insight into the contribution of genetic factors to disease progression [end],26809278
61,non-conversed types based,[start] the same [UNK] [end],[start] on extent of cancer metastasis [end],30370504
62,processed N - nitroso compounds may be positively associated,[start] with [UNK] [end],[start] with the risk of gastric cancer [end],17577615
63,the most part identified,[start] [UNK] [end],[start] in Japanese women [end],17577615
64,diseases associated,[start] with [UNK] [end],[start] with gastric cancer [end],24782602
65,gastric cancer is,[start] the most common cause of cancer death [end],[start] still the main cause of death in patients with malignant tumors In China [end],24259966
66,The surgical treatment of gastric cancer to be,[start] important for the disease [end],[start] precise [end],30703786
67,new - targeted therapies may improve,[start] lung cancer [end],[start] patient survival [end],26809278
68,The optimal indications for conversion therapy include,[start] the most important role of the development of lung cancer [end],[start] the patients with category 2 [end],30370504
69,Laparoscopy has been developing rapidly,[start] in the us [end],[start] in the past 20 years on account of its clinical application advantages such as minimally magnified visual field making it one of the standard treatment options for early gastric cancer [end],30703786
70,a sufficiently long - term follow - up may clarify,[start] the last year [end],[start] the effect of eradication therapy on inhibition of the development ( not discovery ) of gastric cancer [end],19333542
71,the complete response to any therapy is,[start] the most important [UNK] [end],[start] really very rare so that conversion therapy is a great clinical challenging problem for gastric cancer patients [end],30370504
72,tumor heterogeneity which is an inherent feature of gastric cancer challenges,[start] the most important component of the evaluation of patients [end],[start] the development of molecularly targeted and personalized treatment strategies [end],27092990
73,"Tumours located in the lower third of the stomach , had",[start] a number of immune abnormalities in the disease [end],[start] the best prognosis [end],3768650
