,Subj_Pred,Obj,Obj_true,PMID
0,biochemical studies have found,[start] the results of [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] that CFs exposure may lead to lung cancer by gene damage [end],28956747
1,The most important lung cancer research falls,[start] in the [UNK] [end],[start] under the hub of personalized medicine [end],31661148
2,MicroRNAs play,[start] a role in the development of gastric cancer [end],[start] an important role in the regulation of various genes [end],30088452
3,Therapies with antibodies liberate,[start] the [UNK] [end],[start] an antitumor immune response [end],29251665
4,screening has,[start] [UNK] [end],[start] interested researchers [end],17225705
5,lung cancer resulting,[start] in the [UNK] [end],[start] from the fact that most cases are diagnosed in the advanced stage of the disease [end],29425790
6,these products are,[start] available commercially [end],[start] clearly of more benefit to female non-smokers [end],17117325
7,Other factors reported are,[start] in the [UNK] [end],[start] infections factors [end],23921082
8,Chinese Society of Lung Cancer jointly publish,[start] this disease [end],[start] this consensus [end],33113622
9,a legacy of decades of tobacco use in a significant proportion of the US population means,[start] [UNK] [end],[start] we are still challenged to develop public health strategies for the foreseeable future [end],10855253
10,The development of lung cancer is,[start] a major cause of cancer related death in women [end],[start] unique in each patient according to clinical response [end],23980680
11,the diagnosis of lung cancer in China is intended,[start] to promote mutual understanding [end],"[start] to facilitate cooperation , so as to upgrade the effective control of lung cancer [end]",8069599
12,"17,000 - 26,000 annual deaths from lung cancer in never smokers would be",[start] a [UNK] [end],[start] the seventh leading cause of cancer mortality [end],26667338
13,the diagnosis of lung cancer in China to facilitate,[start] research [end],[start] research [end],8069599
14,Video - assisted limited resection may be,[start] a [UNK] [end],[start] feasible in such cases [end],8965366
15,The lung cancer cells have,[start] a number of immune abnormalities [end],[start] very fast growth rates [end],24639115
16,Early central airways lung cancer is detected,[start] in the most important treatment of gastric cancer [end],[start] by sputum cytology usually [end],22810461
17,Lung cancer is,[start] the most common cancer cause of cancer death [end],[start] a complex disease composed of diverse molecular types with clinical relevance [end],27535388
18,The aim of this paper was,[start] to provide the current understanding of the possible treatment of type 1 diabetes [end],[start] to discuss MPLC in general [end],29790681
19,Presented in this paper are,[start] the most important [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] the pathogenesis of lung cancer in China [end],8069599
